nome;dimensao;material; qtd ;unid; unit ; total 
VÁLVULA BORBOLETA BI-EXCÊNTRICA COM FLANGES PN10 ACIONAMENTO MANUAL COM VOLANTE;DN500;FD; 1,00 ;UN; 21.645,87 ; 21.645,87 
TUBO COM FLANGES PN10;DN500x0,50m;FD; 1,00 ;UN; 4.219,99 ; 4.219,99 
JUNTA DE DESMONTAGEM TRAVADA AXIALMENTE PN10;DN500;FD; 1,00 ;UN; 6.757,84 ; 6.757,84 
TUBO COM FLANGE E PONTA PN10;DN500x4,00m;FD; 1,00 ;UN; 6.585,85 ; 6.585,85 
LUVA DE CORRER COM BOLSAS JUNTA MECÂNICA;DN500;FD; 3,00 ;UN; 3.877,51 ; 11.632,53 
TUBO CILÍNDRICO K7 - DN500x4,15m;DN500x4,15m;FD; 1,00 ;UN; 7.871,63 ; 7.871,63 
TÊ COM BOLSAS JUNTA ELÁSTICA JE2GS;DN500;FD; 1,00 ;UN; 7.540,84 ; 7.540,84 
TUBO CILÍNDRICO K7 - DN500x1,00m;DN500x1,00m;FD; 2,00 ;UN; 2.202,11 ; 4.404,22 
ARRUELA DE BORRACHA PARA JUNTA FLANGEADA PN10 - DN500;DN500;EPDM; 4,00 ;UN; 135,46 ; 541,84 
PARAFUSOS COM PORCAS SEXTAVADAS E ARRUELAS METÁLICAS PN10 - Ø24mmx110mm;Ø24mmx110mm;AÇO; 40,00 ;UN; 33,04 ; 1.321,60 
LUVA DE CORRER COM BOLSAS JUNTA MECÂNICA;DN600;FD; 2,00 ;UN; 7.276,10 ; 14.552,20 
TUBO CILÍNDRICO K7 - DN600x1,00m;DN600x1,00m;FD; 2,00 ;UN; 2.813,58 ; 5.627,16 
TÊ COM BOLSAS JUNTA ELÁSTICA JE2GS;DN600;FD; 1,00 ;UN; 9.015,10 ; 9.015,10 
TUBO COM FLANGE E PONTA PN10;DN600x1,90m;FD; 1,00 ;UN; 5.276,54 ; 5.276,54 
JUNTA DE DESMONTAGEM TRAVADA AXIALMENTE PN10;DN600;FD; 1,00 ;UN; 8.902,68 ; 8.902,68 
TUBO COM FLANGES PN10;DN600x0,50m;FD; 1,00 ;UN; 4.813,00 ; 4.813,00 
VÁLVULA BORBOLETA BI-EXCÊNTRICA COM FLANGES PN10 ACIONAMENTO MANUAL COM VOLANTE;DN600;FD; 1,00 ;UN; 24.366,48 ; 24.366,48 
TÊ DE REDUÇÃO COM FLANGES PN10;DN600x100;FD; 1,00 ;UN; 11.535,18 ; 11.535,18 
